judge,face,cond,C1,C2,rating
53,44,A,-0.5,0,1
46,44,A,-0.5,0,2
24,44,A,-0.5,0,3
34,44,A,-0.5,0,1
16,44,A,-0.5,0,3
58,44,A,-0.5,0,1
12,44,A,-0.5,0,2
39,44,A,-0.5,0,4
38,44,A,-0.5,0,4
37,44,A,-0.5,0,5
43,44,A,-0.5,0,2
3,44,A,-0.5,0,2
54,44,A,-0.5,0,3
11,44,A,-0.5,0,1
61,44,A,-0.5,0,2
13,44,A,-0.5,0,1
70,44,A,-0.5,0,5
44,44,A,-0.5,0,2
14,44,A,-0.5,0,2
17,44,A,-0.5,0,3
27,44,A,-0.5,0,3
55,44,A,-0.5,0,3
36,44,A,-0.5,0,3
5,44,A,-0.5,0,4
21,44,A,-0.5,0,2
48,44,A,-0.5,0,2
23,44,A,-0.5,0,4
2,44,A,-0.5,0,5
35,44,A,-0.5,0,7
1,44,A,-0.5,0,5
67,44,A,-0.5,0,2
29,44,A,-0.5,0,6
52,44,A,-0.5,0,1
62,44,A,-0.5,0,5
50,44,A,-0.5,0,1
4,44,A,-0.5,0,4
9,44,A,-0.5,0,4
56,44,A,-0.5,0,5
49,44,A,-0.5,0,3
64,44,A,-0.5,0,1
47,44,A,-0.5,0,2
68,44,A,-0.5,0,1
63,44,A,-0.5,0,2
42,44,A,-0.5,0,5
31,44,A,-0.5,0,5
33,44,A,-0.5,0,1
57,44,A,-0.5,0,5
25,44,A,-0.5,0,4
45,44,A,-0.5,0,1
30,44,A,-0.5,0,6
18,44,A,-0.5,0,2
40,44,A,-0.5,0,3
65,44,A,-0.5,0,2
66,46,A,-0.5,0,6
20,46,A,-0.5,0,7
22,46,A,-0.5,0,7
69,46,A,-0.5,0,7
7,46,A,-0.5,0,6
41,46,A,-0.5,0,7
60,46,A,-0.5,0,6
19,46,A,-0.5,0,6
59,46,A,-0.5,0,7
15,46,A,-0.5,0,7
51,46,A,-0.5,0,6
8,46,A,-0.5,0,7
32,46,A,-0.5,0,5
6,46,A,-0.5,0,6
28,46,A,-0.5,0,5
